🌍全部频道,#genre#
CCTV-1,udp://239.86.1.66:1234
CCTV-1,udp://239.86.1.13:1234
CCTV-1,udp://239.86.1.227:1234
CCTV-2,udp://239.86.1.173:1234
CCTV-2,udp://239.86.1.14:1234
CCTV-3,udp://239.86.1.174:1234
CCTV-3,udp://239.86.1.15:1234
CCTV-4,udp://239.86.1.79:1234
CCTV-4,udp://239.86.1.228:1234
CCTV-4,udp://239.86.1.80:1234
CCTV-4,udp://239.86.1.16:1234
CCTV-5,udp://239.86.1.182:1234
CCTV-5,udp://239.86.1.116:1234
CCTV-5,udp://239.86.1.194:1234
CCTV-5,udp://239.86.1.17:1234
CCTV-6,udp://239.86.1.175:1234
CCTV-6,udp://239.86.1.18:1234
CCTV-7,udp://239.86.1.176:1234
CCTV-7,udp://239.86.1.19:1234
CCTV-8,udp://239.86.1.177:1234
CCTV-8,udp://239.86.1.20:1234
CCTV-9,udp://239.86.1.178:1234
CCTV-9,udp://239.86.1.21:1234
CCTV-10,udp://239.86.1.179:1234
CCTV-10,udp://239.86.1.22:1234
CCTV-11,udp://239.86.1.87:1234
CCTV-11,udp://239.86.1.23:1234
CCTV-12,udp://239.86.1.180:1234
CCTV-12,udp://239.86.1.24:1234
CCTV-13,udp://239.86.1.229:1234
CCTV-13,udp://239.86.1.25:1234
CCTV-14,udp://239.86.1.181:1234
CCTV-14,udp://239.86.1.26:1234
CCTV-15,udp://239.86.1.88:1234
CCTV-15,udp://239.86.1.27:1234
CCTV-16,udp://239.86.1.207:1234
CCTV-16,udp://239.86.1.138:1234
CCTV-17,udp://239.86.1.78:1234
CCTV-17,udp://239.86.1.77:1234
北京卫视,udp://239.86.1.70:1234
北京卫视,udp://239.86.1.33:1234
安徽卫视,udp://239.86.1.230:1234
安徽卫视,udp://239.86.1.32:1234
重庆卫视,udp://239.86.1.157:1234
重庆卫视,udp://239.86.1.46:1234
浙江卫视,udp://239.86.1.69:1234
浙江卫视,udp://239.86.1.31:1234
天津卫视,udp://239.86.1.71:1234
天津卫视,udp://239.86.1.34:1234
四川卫视,udp://239.86.1.156:1234
四川卫视,udp://239.86.1.45:1234
深圳卫视,udp://239.86.1.73:1234
深圳卫视,udp://239.86.1.37:1234
山东卫视,udp://239.86.1.74:1234
山东卫视,udp://239.86.1.44:1234
三沙卫视,udp://239.86.1.90:1234
辽宁卫视,udp://239.86.1.231:1234
辽宁卫视,udp://239.86.1.38:1234
江苏卫视,udp://239.86.1.68:1234
江苏卫视,udp://239.86.1.30:1234
吉林卫视,udp://239.86.1.161:1234
吉林卫视,udp://239.86.1.52:1234
黑龙江卫视,udp://239.86.1.75:1234
黑龙江卫视,udp://239.86.1.49:1234
河南卫视,udp://239.86.1.160:1234
河南卫视,udp://239.86.1.48:1234
河北卫视,udp://239.86.1.236:1234
河北卫视,udp://239.86.1.51:1234
贵州卫视,udp://239.86.1.235:1234
贵州卫视,udp://239.86.1.50:1234
海南卫视,udp://239.86.1.159:1234
海南卫视,udp://239.86.1.40:1234
广东卫视,udp://239.86.1.233:1234
广东卫视,udp://239.86.1.41:1234
湖北卫视,udp://239.86.1.234:1234
湖北卫视,udp://239.86.1.42:1234
甘肃卫视,udp://239.86.1.162:1234
甘肃卫视,udp://239.86.1.59:1234
东南卫视,udp://239.86.1.232:1234
东南卫视,udp://239.86.1.39:1234
东方卫视,udp://239.86.1.72:1234
东方卫视,udp://239.86.1.35:1234
清海卫视,udp://239.86.1.63:1234
大湾区卫视,udp://239.86.1.62:1234
新疆卫视,udp://239.86.1.58:1234
西藏卫视,udp://239.86.1.57:1234
宁夏卫视,udp://239.86.1.56:1234
内蒙古卫视,udp://239.86.1.55:1234
山西卫视,udp://239.86.1.54:1234
陕西卫视,udp://239.86.1.53:1234
云南卫视,udp://239.86.1.47:1234
广西卫视,udp://239.86.1.43:1234
江西卫视,udp://239.86.1.36:1234
兵团卫视,udp://239.86.1.248:1234
厦门卫视,udp://239.86.1.247:1234
湖南卫视,udp://239.86.1.206:1234
湖南卫视,udp://239.86.1.64:1234
湖南卫视,udp://239.86.1.1:1234
湖南娱乐,udp://239.86.1.169:1234
湖南娱乐,udp://239.86.1.5:1234
湖南经视,udp://239.86.1.65:1234
湖南经视,udp://239.86.1.3:1234
湖南教育,udp://239.86.1.249:1234
湖南教育,udp://239.86.1.189:1234
湖南国际,udp://239.86.1.172:1234
湖南国际,udp://239.86.1.2:1234
湖南都市,udp://239.86.1.165:1234
湖南都市,udp://239.86.1.4:1234
湖南电影,udp://239.86.1.167:1234
湖南电影,udp://239.86.1.6:1234
湖南电视剧,udp://239.86.1.166:1234
